Response_ID,Timestamp,Curriculum_Design_Relevance,Teaching_Learning_Quality,Assessment_Process_Fairness,Infrastructure_Facilities,Library_Resources_Access,ICT_Resources_Availability,Student_Support_Services,Administrative_Efficiency,Extracurricular_Activities,Research_Innovation_Support,Gender_Sensitivity_Initiatives,Environmental_Sustainability,Value_Added_Courses,Grievance_Redressal_System,Overall_Institutional_Experience
RESP_0011,2023-07-06T00:00:00,2.9915003265959816,3.3428176407397547,3.4,3.5,3.8079927772909925,2.8878220283683875,1.9,3,2.6997381954437607,2.5,3.8187554901193757,1.9165968548905536,3.1,3.5,3.1
RESP_0012,2023-09-25T00:00:00,1.725967424716105,3.4000508878367994,3.1,3.5,3.7537292167593024,2.423068443744939,2.8,4,3.354695429894975,2.5,3.220062224591626,1.585165480917127,2.9,4.0,2.9
RESP_0013,2023-10-15T00:00:00,3.379396269172724,3.2827552496652777,3.3,3.0,3.600724259444657,4,2.2,4,2.8398324089625864,2.5,3.8064508571995836,1.9394578334063917,2.5,4.0,3.0
RESP_0014,2023-07-23T00:00:00,3.0603933540001425,3.7489632099366705,3.0,3.5,3.251950299518965,3.1267398308188357,1.5,3,3.635249294575498,2.5,3.57448142848577,1.9509072267914447,3.7,3.5,3.0
RESP_0015,2023-09-21T00:00:00,2.8875176457555494,3.949030760371572,3.3,4.0,2.7226139676042616,3.703688838877727,1.9,4,3.7894390471490556,2.5,3.28941321596702,2.2267014641178586,3.4,4.0,3.3
RESP_0016,2023-07-01T00:00:00,4,3.5851492285358795,3.2,3.5,3.8457518032156757,2.30774802538235,3.2,4,4,2.5,3.2291129729893226,1.9063921647371902,4.1,4.0,3.1
RESP_0017,2023-11-29T00:00:00,3.6836804147845026,4,3.5,3.5,3.6782622791678583,2.7550459563320153,0.6,4,3.453772172581122,2.5,3.6003877460116716,1.998582179817362,3.2,4.0,3.0
RESP_0018,2023-11-20T00:00:00,4,3.787887242965709,3.9,4.0,3.888642195863493,2.3777848344787067,1.8,3,2.857122504689554,3.0,3.423915147126725,1.4032993009642805,3.4,4.0,3.2
RESP_0019,2023-10-23T00:00:00,3.990835287184331,3.2072530741642025,2.9,4.0,3.285482544695658,3.232926889267543,0.7,4,2.9699042310658643,3.0,3.9474178443971937,1.6003824728320148,2.5,4.0,3.1
RESP_0020,2023-09-07T00:00:00,3.846698763140527,4,3.6,3.5,3.133021438491361,3.652469791773256,2.7,4,3.867847792937016,2.5,3.893460554821212,2.359707644254338,3.3,4.0,3.4
RESP_0021,2023-09-07T00:00:00,2.9890214585374246,3.719380447025183,3.8,4.0,3.52615724002713,2.330138611503426,2.6,2,3.5801556055616723,2.5,3.8257540512916166,1.9991909552175895,3.2,4.0,2.9
RESP_0022,2023-10-24T00:00:00,2.9055570323766844,3.0515966232754477,3.1,3.5,3.330195481182994,3.235677403358731,2.4,3,3.1654607530707257,2.5,3.5072081105676585,2.7077230688172733,2.6,4.0,3.2
RESP_0023,2023-11-24T00:00:00,3.6927723612608605,3.581374075796957,3.9,4.0,3.460802349925368,2.7697124829555975,2.9,3,3.19336519607307,2.5,3.979698375301159,2.3254646690257585,3.3,4.0,3.6
RESP_0024,2023-11-26T00:00:00,3.0891439095857947,3.808220768644974,2.8,3.5,3.298229854935079,2.811928536779825,2.1,2,3.615358827710642,3.0,3.9938774318388224,1.365919698823211,2.6,4.0,3.2
RESP_0025,2023-08-07T00:00:00,4,3.453721120616589,3.0,3.5,3.8826202429639647,2.73735975718541,3.8,4,2.8343004875454128,3.0,3.9470207818433387,1.7201677609437547,3.8,4.0,3.5
RESP_0026,2023-10-02T00:00:00,3.488142803843462,3.9141473530322877,2.9,3.0,3.285757139526988,2.4235693888171146,2.5,3,2.946525383579833,2.5,3.4394726564889146,2.4237898408274363,2.9,3.5,3.3
RESP_0027,2023-08-14T00:00:00,3.4093229025393414,3.160931257567316,3.6,4.0,3.6790350834501577,2.6112556282917594,1.8,2,4,3.0,3.892969193227958,1.6381753396714354,3.3,4.0,2.9
RESP_0028,2023-12-04T00:00:00,2.8904764675517036,3.3722992709102293,3.2,3.5,3.263353345783709,3.6824442277683147,2.0,3,3.2751250879412375,3.0,3.7563658340256225,2.3168390651394666,3.6,4.0,3.1
RESP_0029,2023-12-26T00:00:00,2.9597019248733547,3.1033799666723483,3.5,4.0,3.2972889351584866,2.4540299162343997,2.6,3,3.4521069375464535,3.0,3.943147367686838,2.062470356252996,3.6,4.0,3.4
RESP_0030,2023-07-08T00:00:00,2.889228524965451,3.4212780993359924,3.5,3.0,3.5542599339500187,3.4836226412278815,1.4,2,3.157918011535639,3.5,3.9333510966857,1.5874810046350092,3.4,4.0,3.1
RESP_0031,2023-12-07T00:00:00,3.5871245108780765,2.8543377871903424,3.3,4.0,3.1156217407143556,3.180143613075808,2.4,4,3.6692551522439922,2.5,3.367119735081297,1.5725465301823258,2.7,4.0,2.9
RESP_0032,2023-09-06T00:00:00,3.6639763419693145,3.991937296629103,2.9,4.0,3.227256741684148,2.466101719033767,1.6,2,2.668370047085246,2.5,3.9140988203828893,1.7397959922299973,3.7,4.0,2.8
RESP_0033,2023-10-06T00:00:00,3.8326999913527535,3.3128911376596757,3.8,3.5,3.667401628208479,2.362929232351941,2.1,3,2.975555304778911,3.0,3.4307651823698313,1.5556649886083642,3.4,3.5,3.2
RESP_0034,2023-10-27T00:00:00,3.6645628810329427,4,2.9,4.0,3.3944994823413235,2.515578223728437,2.4,4,3.9842645704234925,3.0,3.6119806533165564,1.8067595605657663,2.8,3.5,3.5
RESP_0035,2023-10-23T00:00:00,4,3.7700327556503046,3.8,3.5,2.730328081949044,2.958082669567715,1.6,2,3.6587744274240555,2.5,3.401455015879982,1.798978371699617,3.4,4.0,3.2
RESP_0036,2023-11-17T00:00:00,3.395306140669786,3.8448501470336596,3.8,4.0,2.997368792739376,2.2136356534822768,2.1,2,3.2715337476012394,2.5,3.417869806976531,1.6866438923573261,3.8,4.0,2.9
RESP_0037,2023-08-10T00:00:00,4,3.036661655938067,3.4,3.5,3.372635219734292,3.0439150691011587,1.1,3,3.6400160844457847,2.5,3.947866897613669,1.6348335396826361,3.2,3.5,3.2
RESP_0038,2023-08-23T00:00:00,3.973661644961187,3.023501235065263,3.3,3.5,3.732534487276967,2.2247640065448455,1.3,2,1.2428348476667346,3.0,3.220654135670256,1.8039337853621267,3.2,4.0,2.9
RESP_0039,2023-09-25T00:00:00,2.8265481075541397,3.5650811536398903,2.9,4.0,3.7725231826997545,3.0457146161862685,3.4,3,2.857130262946868,3.0,3.5081762478675405,2.5381765602540933,3.1,4.0,3.3
RESP_0040,2023-08-26T00:00:00,3.4981728502161173,3.252322837626402,4.0,4.0,3.248892643590296,2.9954451470778323,2.7,4,1.9486806531512817,3.0,3.599167144120646,1.5559791314251639,4.1,4.0,3.2
RESP_0041,2023-08-01T00:00:00,3.441090593878988,3.7460003046964276,3.2,4.0,3.438071181291417,2.2536302169026783,1.9,4,2.2081530544040024,3.5,3.875943627656729,1.7663772560442463,4.0,4.0,3.5
RESP_0042,2023-10-19T00:00:00,3.3427204761740095,3.619233323116721,3.5,3.5,2.5260688283845694,3.739274854230813,1.8,2,3.0438426398901197,3.0,3.2743113553340057,2.089821546594132,2.9,4.0,2.9
RESP_0043,2023-09-28T00:00:00,3.3490247257979275,3.176194951822518,3.9,4.0,3.1455161759821055,2.788384634463377,2.9,4,4,3.0,3.9516718296724886,2.137620861327848,3.3,3.5,3.1
RESP_0044,2023-09-30T00:00:00,2.8585850478348083,3.4913777898269944,3.3,3.0,3.232443215674083,2.9104736561969724,1.6,4,2.7357876960921836,3.5,3.302647612866248,1.686892353976969,2.9,3.5,3.1
RESP_0045,2023-11-18T00:00:00,3.8187511005665264,4,3.0,3.5,3.372230152271788,3.918552275752411,0.3,2,3.178998185270288,3.5,3.745437254636004,2.2495116723563693,4.0,3.5,3.2
RESP_0046,2023-10-12T00:00:00,2.9605835755994,3.375242864913109,3.6,4.0,3.3079029146766086,2.251662016959861,1.7,3,2.106418197317317,3.0,3.644635738153711,2.363149181211313,2.6,4.0,2.7
RESP_0047,2023-08-03T00:00:00,2.5818222035919014,3.3293448296586177,3.0,4.0,3.3409184801673533,2.2357242437115694,3.6,2,2.3646403486368675,3.0,3.9550914407198023,1.445222016753108,3.1,4.0,3.0
RESP_0048,2023-12-08T00:00:00,3.7827390389604663,3.9537404560327327,3.3,4.0,2.7493930022271185,2.5205663359691246,1.9,3,3.3520380303302892,3.0,3.9813348379688227,1.6911994766064353,3.4,3.5,3.1
RESP_0049,2023-08-07T00:00:00,3.6843437112665813,3.119408338388705,3.2,3.5,3.719677487885245,2.714454602799372,0.2,4,3.7900756997298775,3.0,3.610300819162188,1.716927159217985,3.2,4.0,3.2
RESP_0050,2023-09-29T00:00:00,3.5881122188077668,3.890825879103935,3.7,4.0,2.8396364430088035,2.8217879693435357,3.6,2,3.9976083534544626,2.5,3.2042964208910294,1.7496840820352648,4.3,4.0,3.4
RESP_0051,2023-07-19T00:00:00,3.599079861431518,3.4037987501218585,4.0,4.0,2.8658763357070614,2.2250571880726957,2.5,2,2.948874778111382,2.5,3.318610771009491,1.7251427464836995,2.9,3.5,2.9
RESP_0052,2023-08-02T00:00:00,3.344745906002912,4,2.9,4.0,2.752578804731758,2.701413206067013,2.4,4,4,3.0,3.455369810509955,1.7324483215793065,3.8,4.0,3.3
RESP_0053,2023-12-09T00:00:00,3.2629571761868683,3.512087472842591,3.6,3.0,3.2237698666560037,3.4794565865865117,2.6,2,3.8964566255127946,2.5,3.623612385123366,2.0393985095771296,3.3,4.0,3.4
RESP_0054,2023-09-07T00:00:00,3.1756140749380988,3.700338698795414,3.5,3.5,3.473628547633581,2.8203277298789207,1.6,4,3.6791542486044495,3.0,3.710977708959262,1.9223534402698004,3.3,4.0,3.3
RESP_0055,2023-11-08T00:00:00,3.2096028885579604,4,3.3,3.5,3.158952567437675,2.2112981792511466,2.5,4,1.4030137466357762,3.0,3.359476904207738,1.8310877033406654,3.1,3.5,3.0
RESP_0056,2023-11-19T00:00:00,3.586624287913523,4,3.2,3.5,3.1356470697188166,2.731476615122597,2.9,4,1.750858097258087,3.0,3.3687712521343185,2.3090308034046862,2.9,3.5,3.1
RESP_0057,2023-10-18T00:00:00,3.709734742004858,3.383941751084999,3.0,4.0,2.906435054469468,2.5996216839510176,2.0,3,4,3.5,3.871225369546792,2.0035502276028647,3.5,4.0,3.1
RESP_0058,2023-12-28T00:00:00,3.3918996126240493,3.4377844907390447,3.6,4.0,3.428807091796043,2.2178603670916224,2.1,4,3.323583568530706,2.5,3.2611096554436143,1.9181362901441372,3.9,4.0,3.3
RESP_0059,2023-12-19T00:00:00,3.5464287127049525,3.8384221679549237,3.6,3.0,3.466682976802961,3.9417534581337046,3.2,4,4,2.5,3.4210879960196436,1.7664805310020268,2.9,3.5,3.4
RESP_0060,2023-08-21T00:00:00,3.0822337837611036,3.4227189153080024,3.6,4.0,3.6693569300369404,3.6651523207827825,1.3,4,3.219635944160955,3.0,3.662444853446538,1.6773296691292896,2.6,3.5,3.0
RESP_0061,2023-08-20T00:00:00,1.994785904071845,4,3.3,4.0,2.8691450606926354,2.343747376838258,3.9,4,2.988778268170892,3.0,3.346326572591857,2.3405691672988023,4.3,4.0,3.5
RESP_0062,2023-07-28T00:00:00,3.8498622488245386,3.8374066233385324,3.3,4.0,3.4147837245201647,3.5617040526277552,3.1,4,3.0130707997488084,3.5,3.5412651078534907,1.4485718330104103,3.3,4.0,3.5
RESP_0063,2023-10-01T00:00:00,3.595399238044288,3.0015823410918054,3.4,4.0,3.985610157311646,2.2841032972708724,1.0,3,2.8475716396082467,3.0,3.8443896026692057,3.195505836435394,3.5,4.0,3.0
RESP_0064,2023-09-02T00:00:00,3.6660677793990093,3.922052167664174,3.2,3.5,3.5074751451830926,2.478498058309802,3.2,2,4,3.5,3.8217847805553258,2.601255913066983,2.8,4.0,3.2
RESP_0065,2023-08-03T00:00:00,2.567976420075122,3.211295147688506,3.8,3.5,2.8617958775321624,2.290249585860178,2.8,4,4,3.0,3.819783677533605,1.3394679913807042,3.3,4.0,3.2
RESP_0066,2023-12-24T00:00:00,4,3.1543533090035822,3.7,4.0,2.8244104573955826,2.328938477434988,2.9,2,4,3.5,3.5798968819831334,2.3951575224198085,2.6,4.0,3.5
RESP_0067,2023-09-04T00:00:00,3.6400812690507194,3.4700556792315376,3.4,3.0,3.6766979000456823,3.041434301278187,2.1,3,2.273417231051297,3.0,3.785804740650143,2.053195355194231,3.1,4.0,3.3
RESP_0068,2023-07-14T00:00:00,2.7756171361476287,3.506977284326731,2.9,4.0,3.7080338699615876,2.3353657298895363,2.2,3,3.2404964694922445,2.5,3.4404564998657574,1.401120126651974,3.4,4.0,3.1
RESP_0069,2023-09-01T00:00:00,3.645038655717455,3.488278389454384,3.8,3.5,3.587672329928628,2.2331641078617004,3.6,2,3.586427020814333,3.0,3.8560393812992135,2.13859503265818,2.6,4.0,3.3
RESP_0070,2023-08-11T00:00:00,2.9979772682589685,3.5128723889310765,3.4,3.5,2.8735950090262015,2.6278458305693304,0.7,3,3.719871809778563,3.0,3.6053913972444804,2.326322781264198,3.6,4.0,3.0
RESP_0071,2023-11-08T00:00:00,3.4101900164719834,3.4457369194075023,3.2,4.0,3.130438160226862,2.284617258607315,0.8,3,2.636521606590502,3.0,3.6812508506802537,2.0800539005507983,3.2,3.5,3.1
RESP_0072,2023-10-17T00:00:00,3.335983665047508,3.3595977317585466,3.1,3.0,3.0058578444944932,2.680255109389785,3.3,3,3.6813251571095953,2.5,3.779538034084779,1.7630836988327405,3.1,4.0,3.4
RESP_0073,2023-09-07T00:00:00,3.744369998887348,3.46272717140863,3.9,3.5,3.291036417914104,2.869391957977238,3.1,3,2.8106646678179317,2.5,3.8858138530083344,1.143551043635119,3.4,4.0,3.4
RESP_0074,2023-11-29T00:00:00,2.1116599132729097,2.951793694314505,3.2,4.0,2.767107250876513,2.420902265442026,1.3,2,2.376442696839284,3.0,3.4161429769986635,1.495098954809695,3.6,3.5,2.5
RESP_0075,2023-12-20T00:00:00,3.137121327208995,4,3.7,3.5,2.904690546736319,2.2220789831181955,1.3,4,2.51007165814929,2.5,3.9215345638638195,1.5847000046890767,3.5,3.5,3.1
RESP_0076,2023-10-17T00:00:00,4,3.89472359076401,3.4,4.0,3.6661794376726986,2.3391640591045744,2.5,3,3.9553142875158604,3.0,3.204068274674955,2.311459063612286,4.0,4.0,3.2
RESP_0077,2023-08-21T00:00:00,3.4421056033222266,3.5420428646722915,3.5,4.0,3.1949644479091743,3.689064715926813,2.6,3,4,2.5,3.9418082611722487,1.8229883930460002,3.6,4.0,3.0
RESP_0078,2023-10-28T00:00:00,3.7077461595223045,3.168526537580885,3.8,3.5,3.0195013840735374,2.3538894161434407,1.4,2,1.981884016679952,2.5,3.8127168369839053,2.1085835999374902,3.2,4.0,2.8
RESP_0079,2023-07-25T00:00:00,3.7175593146088852,3.8394926757293413,3.5,4.0,2.60708960899366,4,2.5,4,2.901846835534176,3.0,3.3071912381907005,1.720567968600048,3.5,4.0,3.3
RESP_0080,2023-10-30T00:00:00,2.7161328588364904,3.1285904842960917,3.7,4.0,2.7861516598529734,2.662285235830245,2.2,2,4,2.5,3.5467622459070913,1.5473784612487516,3.1,4.0,3.0
RESP_0081,2023-08-15T00:00:00,3.3971567911186504,3.4665218794263186,3.9,4.0,3.386461998475515,2.285349866616678,0.8,4,3.124987039903611,3.5,3.2860289167525987,1.613311645823633,3.1,4.0,3.2
RESP_0082,2023-12-25T00:00:00,3.041416535337132,2.6521795980679688,3.9,3.0,3.3391779225652276,2.31861904173547,0.9,2,3.761030010000344,3.0,3.550375591221464,1.5057007332688206,3.0,4.0,3.1
RESP_0083,2023-09-25T00:00:00,4,3.737812376778903,3.3,4.0,3.840305754380647,4,0.9,3,3.7001446031405374,3.0,3.8399403172886895,1.6908262849607278,4.1,4.0,3.4
RESP_0084,2023-12-22T00:00:00,3.365585932916234,3.0211891247683655,2.8,3.0,3.24449378687652,2.2187682682110905,1.8,2,3.0364130148985646,3.0,3.2669369646878907,1.5819327533820482,3.3,4.0,2.7
RESP_0085,2023-09-07T00:00:00,3.5991122776729787,3.5983758278773688,3.6,3.0,3.082356474285591,3.280768140335341,2.3,4,3.0568855842345695,3.5,3.2406832732419226,1.708680274591407,3.6,3.5,3.1
RESP_0086,2023-12-20T00:00:00,3.5600353055542744,3.8807851665340856,3.6,4.0,3.615534699152979,2.8830629734774504,0.4,3,1.9993986155236407,3.0,3.6366725121479506,2.2141190662472825,3.8,3.5,3.2
RESP_0087,2023-08-22T00:00:00,3.6230973162956883,2.728500093423368,3.1,4.0,3.229384744661016,3.1539935603954805,1.3,3,3.4245951874440324,3.5,3.6530802160597178,2.086713648438015,4.3,4.0,3.2
RESP_0088,2023-10-24T00:00:00,2.8119499717659058,3.94111999128626,3.7,4.0,3.2443206004939182,2.4689349264140663,1.7,2,3.4265295716349757,3.0,3.3404075639109307,1.819174500543644,2.5,4.0,3.0
RESP_0089,2023-10-01T00:00:00,3.079680491545365,3.6348281527593564,3.0,3.0,3.0500121581871613,3.442323655606258,1.3,4,3.384358653808129,3.0,3.688433414274907,1.6388447581261363,2.1,4.0,2.7
RESP_0090,2023-10-21T00:00:00,3.3817212449717715,3.2836935937087803,2.9,4.0,3.5272123409093075,2.5216296274603094,3.1,3,4,2.5,3.6680952484830827,1.8937662680568297,3.2,4.0,3.4
RESP_0091,2023-08-07T00:00:00,4,2.954884020724104,3.4,3.0,3.696931285962603,4,2.8,4,3.098434308857027,3.0,3.9176816530092173,1.386284819134422,3.4,4.0,3.4
RESP_0092,2023-10-13T00:00:00,2.4494696289378135,3.1649530540251867,3.2,4.0,3.229944807790604,2.590191377865613,3.8,4,3.326684807338034,2.5,3.719034907857095,1.6385560420477219,2.4,4.0,3.0
RESP_0093,2023-09-12T00:00:00,2.4839515433808668,3.712304271070833,3.7,3.0,3.043809770281907,2.726860276938108,1.4,3,3.808379112581454,3.0,3.605121859837736,1.5522571062335513,3.1,4.0,3.0
RESP_0094,2023-08-16T00:00:00,3.323812870234703,3.796433825090585,3.8,3.0,3.2186852718766983,2.509387869869106,2.4,4,3.260966052748109,2.5,3.9639167628975907,2.0234293735202966,3.5,4.0,3.0
RESP_0095,2023-09-23T00:00:00,3.3435231728574815,3.664525580377052,3.1,4.0,3.397679510741365,2.589919076282499,2.7,3,3.0546077231184374,3.0,3.800726966081129,2.521937621280784,3.4,4.0,3.0
RESP_0096,2023-11-13T00:00:00,2.8997472657103653,3.285666527153666,3.0,4.0,3.1645557866635867,2.9658983548944624,1.8,2,4,2.5,3.288731096414219,1.4924276107088614,2.9,4.0,2.8
RESP_0097,2023-09-16T00:00:00,2.893543931667392,3.022827669201726,3.6,4.0,3.101260924914687,2.462863988608641,3.5,2,3.8413801966183945,3.0,3.408075604156122,1.5664665199205179,2.6,4.0,3.0
RESP_0098,2023-09-16T00:00:00,3.216590045739076,3.9256438483872973,3.0,4.0,3.869764443783703,2.989831821749545,3.8,3,3.9386377281061957,2.5,3.9226825383236443,1.8464334577447883,3.4,4.0,3.5
RESP_0099,2023-07-20T00:00:00,3.8905683424284754,4,3.3,3.5,3.0371589863698985,4,3.3,4,3.3624725189801006,3.0,3.3465816881123494,2.2088546180239326,3.0,4.0,3.6
RESP_0100,2023-08-11T00:00:00,3.764112560714385,3.5071717046348843,3.3,3.5,3.9370442835475754,2.40196777534888,2.2,3,3.6093706299937134,3.0,3.7357701218314583,1.8590627938690676,4.4,4.0,3.3
RESP_0101,2023-11-30T00:00:00,2.8860749325153665,3.903852675197497,2.9,3.5,3.245136205839491,2.6423029918111345,2.3,2,2.0728399825458146,3.0,3.99803502247789,1.4234608550433767,2.8,4.0,2.6
RESP_0102,2023-08-30T00:00:00,3.582788240036006,3.5306487933537185,3.5,3.5,3.3152804624320162,2.653567104614634,2.2,3,2.4119965854957446,3.0,3.907600629261098,1.825458616243891,3.0,4.0,2.9
RESP_0103,2023-12-22T00:00:00,4,3.8677589465291864,3.4,3.0,3.2142983543800874,2.6778632826986892,1.4,2,3.544202423960952,3.0,3.5499370982661467,1.6421056060887222,2.8,4.0,3.2
RESP_0104,2023-09-14T00:00:00,3.574792778622103,3.515838146940932,4.0,3.0,3.0309142036161965,2.4857764220044154,2.9,3,2.4190639746066718,2.5,3.715774153382925,2.4726170347354173,2.9,3.5,2.8
RESP_0105,2023-08-22T00:00:00,4,3.881195762273346,3.4,3.5,2.776172851885029,3.3767993578166005,2.5,2,3.6170679281768208,2.5,3.3082911972361146,1.6799852310689471,3.3,4.0,3.2
RESP_0106,2023-11-16T00:00:00,3.6711823280434883,3.571693780642723,3.0,3.0,3.053224366577285,2.9613937378119943,1.9,3,2.0265941680388684,2.5,3.7592143247364964,1.648045295833939,3.6,3.5,2.8
RESP_0107,2023-10-10T00:00:00,2.6008726086856346,4,3.5,3.5,3.3643287671046185,2.517013343682879,2.0,3,2.6589153908782936,3.5,3.9566212079140737,1.616466158943422,3.9,3.5,3.2
RESP_0108,2023-08-02T00:00:00,3.8325071692936197,3.8689077556130256,3.0,3.5,2.871198040163785,2.213010224205194,3.0,3,2.9884134078494213,2.5,3.808179122955252,1.4163415396097305,2.5,4.0,3.0
RESP_0109,2023-11-28T00:00:00,3.0982560481952803,3.1849522495588984,3.8,3.0,3.5230114898069167,2.296689197933695,2.9,2,2.9925549849422706,3.0,3.8211083466532596,2.144225142180409,3.2,4.0,2.8
RESP_0110,2023-12-19T00:00:00,3.0775649216059713,3.938933336050881,3.0,4.0,3.4367591958130173,2.491865857825043,2.5,3,3.3361858940025635,3.0,3.2082322240837433,1.8320885260327862,3.5,4.0,3.0
RESP_0111,2023-10-07T00:00:00,3.317626028487346,4,3.7,3.0,3.8086386036043858,2.387586167042529,2.9,4,1.7677564730995252,2.5,3.3129906075588984,1.4945203176776258,3.6,4.0,3.1
RESP_0112,2023-12-15T00:00:00,3.2265386525012896,3.7610606460145672,2.9,3.0,3.027883858677994,3.019832856754234,2.0,3,3.15046153672064,3.0,3.644606006747215,1.4568566051307883,3.3,3.5,3.2
RESP_0113,2023-12-21T00:00:00,2.989987802246199,4,3.8,4.0,3.704595453722585,3.066923794791621,0.5,3,4,3.5,3.546248316449492,2.254630374083457,3.2,3.5,3.1
RESP_0114,2023-10-02T00:00:00,3.4521168262838033,3.480962935510549,3.9,3.5,3.3745714443904538,3.1994326361213763,3.3,4,3.4182211041354176,3.0,3.443810712662674,2.136153220600344,3.0,4.0,3.4
RESP_0115,2023-11-06T00:00:00,3.9745953705617207,3.4735332612276046,3.3,3.5,3.4849630823913937,2.8589740749759454,1.1,4,3.9847923846609454,3.0,3.4296014123851495,1.4002377819255472,3.7,4.0,3.4
RESP_0116,2023-07-14T00:00:00,2.762093611265003,3.801921077573903,3.6,3.5,3.374682438508608,4,2.5,2,3.0931461031856324,3.0,3.822082303799975,1.6107604607172255,2.9,3.5,2.8
RESP_0117,2023-12-05T00:00:00,3.929329456817847,3.692404338834927,3.6,4.0,3.7251087281261634,2.5674795194659907,1.2,4,3.248847245115967,3.5,3.803608859848413,1.9217245687766846,3.1,4.0,3.0
RESP_0118,2023-09-03T00:00:00,2.961636828760878,3.045608627182315,3.0,3.0,3.0378735451022925,2.3122588027642377,3.2,4,4,3.0,3.2175753736256505,1.9478309303573045,3.3,4.0,3.2
RESP_0119,2023-07-28T00:00:00,3.477951993465601,3.817506763073356,3.3,4.0,3.59620752063497,2.4819202220225964,3.0,4,3.3688888953671254,3.0,3.643616409343978,2.0212787538515737,3.8,4.0,3.2
RESP_0120,2023-12-19T00:00:00,3.624621676909405,3.8706901190373126,3.1,3.5,3.712776082508852,2.9356945923984608,1.8,4,4,2.5,3.2684694144815905,2.293049925913292,3.4,3.5,3.3
RESP_0121,2023-10-03T00:00:00,2.776837811054558,3.60591476701352,3.0,4.0,2.842254596475106,3.0467543347323596,2.1,2,3.0992968063485717,2.5,3.488445771228037,1.7239084947692642,3.5,3.5,2.9
RESP_0122,2023-07-11T00:00:00,3.890209861259448,4,3.4,3.5,3.6260920676216695,3.3295679957839335,2.2,4,2.928184206550903,2.5,3.439810112148912,1.9456103630421522,3.6,3.5,3.1
RESP_0123,2023-09-29T00:00:00,3.455215523192302,3.646364925941325,3.0,3.0,3.0317563016600473,2.9131511196724507,0.8,2,2.9183228698496086,3.0,3.5887294862682877,2.041418092099843,3.0,4.0,2.6
RESP_0124,2023-07-09T00:00:00,3.1768356004273457,4,2.9,3.0,3.3673535860110118,2.264865774631441,1.4,4,3.815137785808308,3.0,3.742105756345978,1.7042632260931316,4.3,4.0,3.3
RESP_0125,2023-08-19T00:00:00,2.8386442909131215,3.2353914208183885,2.9,3.0,3.3832692558793998,2.916810454702439,1.1,4,4,3.0,3.3020204037971816,2.0056747063227154,3.0,4.0,3.1
RESP_0126,2023-12-06T00:00:00,3.9707493775349096,3.279918792932381,3.5,4.0,2.9756556920193633,2.274132441128396,0.6,4,1.7074192534114698,3.0,3.8373592618491417,1.4356072956796828,3.2,4.0,2.8
RESP_0127,2023-12-05T00:00:00,3.5918891226250627,3.9708197236759224,3.9,4.0,2.836433082482211,2.2925964574669964,1.5,4,4,2.5,3.817490143906485,2.263163710736774,3.0,3.5,3.2
